
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"
# Contour 0, label:        5
-4.95422 -0.301205  5 
-4.96569 -0.261044  5 
-4.97549 -0.220884  5 
-4.98362 -0.180723  5 
-4.9901 -0.140562  5 
-4.99495 -0.100402  5 
-4.99818 -0.060241  5 
-4.9998 -0.0200803  5 
-4.9998  0.0200803  5 
-4.99818  0.060241  5 
-4.99495  0.100402  5 
-4.9901  0.140562  5 
-4.98362  0.180723  5 
-4.97549  0.220884  5 
-4.96569  0.261044  5 
-4.95422  0.301205  5 
-4.94105  0.341365  5 
-4.92614  0.381526  5 
-4.90948  0.421687  5 
-4.89899  0.444556  5 
-4.89102  0.461847  5 
-4.87071  0.502008  5 
-4.84852  0.542169  5 
-4.8244  0.582329  5 
-4.79829  0.62249  5 
-4.79798  0.62294  5 
-4.77009  0.662651  5 
-4.73976  0.702811  5 
-4.70723  0.742972  5 
-4.69697  0.754873  5 
-4.67235  0.783133  5 
-4.63504  0.823293  5 
-4.59596  0.86273  5 
-4.59523  0.863454  5 
-4.55263  0.903614  5 
-4.50726  0.943775  5 
-4.49495  0.954091  5 
-4.45876  0.983936  5 
-4.40707  1.0241  5 
-4.39394  1.03377  5 
-4.35176  1.06426  5 
-4.29293  1.10431  5 
-4.29277  1.10442  5 
-4.22936  1.14458  5 
-4.19192  1.16698  5 
-4.16142  1.18474  5 


# Contour 1, label:        4
-0.552798 -1.10442  4 
-0.555556 -1.10516  4 
-0.656566 -1.13205  4 
-0.705831 -1.14458  4 
-0.757576 -1.15786  4 
-0.858586 -1.18209  4 
-0.870782 -1.18474  4 
-0.959596 -1.20434  4 
-1.06061 -1.22451  4 
-1.06285 -1.2249  4 
-1.16162 -1.24231  4 
-1.26263 -1.25783  4 
-1.31894 -1.26506  4 
-1.36364 -1.27091  4 
-1.46465 -1.2815  4 
-1.56566 -1.28964  4 
-1.66667 -1.29528  4 
-1.76768 -1.29837  4 
-1.86869 -1.29885  4 
-1.9697 -1.29669  4 
-2.07071 -1.29182  4 
-2.17172 -1.28421  4 
-2.27273 -1.2738  4 

 3.88889  0.415618  4 
 3.90689  0.381526  4 
 3.92581  0.341365  4 
 3.94248  0.301205  4 
 3.95695  0.261044  4 
 3.96927  0.220884  4 
 3.97948  0.180723  4 
 3.98761  0.140562  4 
 3.9899  0.125473  4 
 3.99369  0.100402  4 
 3.99773  0.060241  4 
 3.99975  0.0200803  4 
 3.99975 -0.0200803  4 
 3.99773 -0.060241  4 
 3.99369 -0.100402  4 
 3.9899 -0.125473  4 
 3.98761 -0.140562  4 
 3.97948 -0.180723  4 
 3.96927 -0.220884  4 
 3.95695 -0.261044  4 
 3.94248 -0.301205  4 
 3.92581 -0.341365  4 
 3.90689 -0.381526  4 
 3.88889 -0.415618  4 
 3.88566 -0.421687  4 
 3.86201 -0.461847  4 
 3.83588 -0.502008  4 
 3.80717 -0.542169  4 
 3.78788 -0.56694  4 
 3.77575 -0.582329  4 
 3.74144 -0.62249  4 
 3.70416 -0.662651  4 
 3.68687 -0.679945  4 
 3.66363 -0.702811  4 
 3.61966 -0.742972  4 
 3.58586 -0.771622  4 
 3.572 -0.783133  4 
 3.52022 -0.823293  4 
 3.48485 -0.84882  4 
 3.46405 -0.863454  4 
 3.40289 -0.903614  4 
 3.38384 -0.915331  4 
 3.33606 -0.943775  4 
 3.28283 -0.973314  4 
 3.26295 -0.983936  4 
 3.18242 -1.0241  4 
 3.18182 -1.02438  4 
 3.09263 -1.06426  4 
 3.08081 -1.0692  4 
 2.99173 -1.10442  4 
 2.9798 -1.10884  4 
 2.87879 -1.14381  4 
 2.87641 -1.14458  4 
 2.77778 -1.17436  4 
 2.74006 -1.18474  4 
 2.67677 -1.20108  4 
 2.57576 -1.22432  4 
 2.57294 -1.2249  4 
 2.47475 -1.24388  4 
 2.37374 -1.26044  4 
 2.34016 -1.26506  4 
 2.27273 -1.2738  4 
 2.17172 -1.28421  4 
 2.07071 -1.29182  4 
 1.9697 -1.29669  4 
 1.86869 -1.29885  4 
 1.76768 -1.29837  4 
 1.66667 -1.29528  4 
 1.56566 -1.28964  4 
 1.46465 -1.2815  4 
 1.36364 -1.27091  4 
 1.31894 -1.26506  4 
 1.26263 -1.25783  4 
 1.16162 -1.24231  4 
 1.06285 -1.2249  4 
 1.06061 -1.22451  4 
 0.959596 -1.20434  4 
 0.870782 -1.18474  4 
 0.858586 -1.18209  4 
 0.757576 -1.15786  4 
 0.705831 -1.14458  4 
 0.656566 -1.13205  4 
 0.555556 -1.10516  4 
 0.552798 -1.10442  4 
 0.454545 -1.07803  4 
 0.401009 -1.06426  4 
 0.353535 -1.05196  4 
 0.252525 -1.02881  4 
 0.225488 -1.0241  4 
 0.151515 -1.01105  4 
 0.0505051 -1.00127  4 
-0.0505051 -1.00127  4 
-0.151515 -1.01105  4 
-0.225488 -1.0241  4 
-0.252525 -1.02881  4 
-0.353535 -1.05196  4 
-0.401009 -1.06426  4 
-0.454545 -1.07803  4 
-0.552798 -1.10442  4 

-2.34016  1.26506  4 
-2.27273  1.2738  4 
-2.17172  1.28421  4 
-2.07071  1.29182  4 
-1.9697  1.29669  4 
-1.86869  1.29885  4 
-1.76768  1.29837  4 
-1.66667  1.29528  4 
-1.56566  1.28964  4 
-1.46465  1.2815  4 
-1.36364  1.27091  4 
-1.31894  1.26506  4 
-1.26263  1.25783  4 
-1.16162  1.24231  4 
-1.06285  1.2249  4 
-1.06061  1.22451  4 
-0.959596  1.20434  4 
-0.870782  1.18474  4 
-0.858586  1.18209  4 
-0.757576  1.15786  4 
-0.705831  1.14458  4 
-0.656566  1.13205  4 
-0.555556  1.10516  4 
-0.552798  1.10442  4 
-0.454545  1.07803  4 
-0.401009  1.06426  4 
-0.353535  1.05196  4 
-0.252525  1.02881  4 
-0.225488  1.0241  4 
-0.151515  1.01105  4 
-0.0505051  1.00127  4 
 0.0505051  1.00127  4 
 0.151515  1.01105  4 
 0.225488  1.0241  4 
 0.252525  1.02881  4 
 0.353535  1.05196  4 
 0.401009  1.06426  4 
 0.454545  1.07803  4 
 0.552798  1.10442  4 
 0.555556  1.10516  4 
 0.656566  1.13205  4 
 0.705831  1.14458  4 
 0.757576  1.15786  4 
 0.858586  1.18209  4 
 0.870782  1.18474  4 
 0.959596  1.20434  4 
 1.06061  1.22451  4 
 1.06285  1.2249  4 
 1.16162  1.24231  4 
 1.26263  1.25783  4 
 1.31894  1.26506  4 
 1.36364  1.27091  4 
 1.46465  1.2815  4 
 1.56566  1.28964  4 
 1.66667  1.29528  4 
 1.76768  1.29837  4 
 1.86869  1.29885  4 
 1.9697  1.29669  4 
 2.07071  1.29182  4 
 2.17172  1.28421  4 
 2.27273  1.2738  4 
 2.34016  1.26506  4 
 2.37374  1.26044  4 
 2.47475  1.24388  4 
 2.57294  1.2249  4 
 2.57576  1.22432  4 
 2.67677  1.20108  4 
 2.74006  1.18474  4 
 2.77778  1.17436  4 
 2.87641  1.14458  4 
 2.87879  1.14381  4 
 2.9798  1.10884  4 
 2.99173  1.10442  4 
 3.08081  1.0692  4 
 3.09263  1.06426  4 
 3.18182  1.02438  4 
 3.18242  1.0241  4 
 3.26295  0.983936  4 
 3.28283  0.973314  4 
 3.33606  0.943775  4 
 3.38384  0.915331  4 
 3.40289  0.903614  4 
 3.46405  0.863454  4 
 3.48485  0.84882  4 
 3.52022  0.823293  4 
 3.572  0.783133  4 
 3.58586  0.771622  4 
 3.61966  0.742972  4 
 3.66363  0.702811  4 
 3.68687  0.679945  4 
 3.70416  0.662651  4 
 3.74144  0.62249  4 
 3.77575  0.582329  4 
 3.78788  0.56694  4 
 3.80717  0.542169  4 
 3.83588  0.502008  4 
 3.86201  0.461847  4 
 3.88566  0.421687  4 
 3.88889  0.415618  4 

-2.27273 -1.2738  4 
-2.34016 -1.26506  4 
-2.37374 -1.26044  4 
-2.47475 -1.24388  4 
-2.57294 -1.2249  4 
-2.57576 -1.22432  4 
-2.67677 -1.20108  4 
-2.74006 -1.18474  4 
-2.77778 -1.17436  4 
-2.87641 -1.14458  4 
-2.87879 -1.14381  4 
-2.9798 -1.10884  4 
